Model,10.0000,30.0000,60.0000,120.0000,360.0000,720.0000
KNN,0.8224,0.8543,0.8715,0.8804,0.8950,0.9120
Log-Reg,0.7998,0.8081,0.8230,0.8411,0.8603,0.8734
Bagging,0.8555,0.8909,0.8869,0.8982,0.9241,0.9369
Boosting,0.8915,0.8989,0.9026,0.9147,0.9269,0.9411
RFC,0.8840,0.8997,0.8986,0.9118,0.9239,0.9422
CPH,0.8123,0.8265,0.8344,0.8409,0.8375,0.8246
CoxNet,0.8127,0.8265,0.8343,0.8408,0.8376,0.8249
RSF,0.8943,0.9119,0.9108,0.9189,0.9295,0.9407
